CHR	POS	MarkerID	Allele1	Allele2	AC_Allele2	AF_Allele2	MissingRate	BETA	SE	Tstat	var	p.value	p.value.NA	Is.SPA	BETA_c	SE_c	Tstat_c	var_c	p.value_c	p.value.NA_c	AF_case	AF_ctrl	N_case	N_ctrl	N_case_hom	N_case_het	N_ctrl_hom	N_ctrl_het
1	68	rs68	A	C	545	0.2725	0	-0.0126262	0.181837	-0.381866	30.2439	0.944642	0.944642	false	0.000865766	0.182371	0.026031	30.067	0.996212	0.996212	0.270408	0.272727	98	902	9	35	64	364
1	71	rs71	A	C	45	0.0225	0	0.248204	0.523944	0.904147	3.64276	0.635698	0.635698	false	0.266906	0.524361	0.97073	3.63697	0.610743	0.610743	0.0306122	0.0216186	98	902	0	6	0	39
1	75	rs75	A	C	60	0.03	0	-0.0963019	0.445967	-0.484206	5.028	0.829035	0.829035	false	-0.0909842	0.446065	-0.457268	5.02579	0.838376	0.838376	0.0306122	0.0299335	98	902	0	6	2	50
1	79	rs79	A	C	22	0.011	0	0.426448	0.754778	0.748562	1.75534	0.572075	0.572075	false	0.21875	1.67772e+07	7.77156e-16	3.55271e-15	1	1	0.0153061	0.0105322	98	902	0	3	0	19
1	81	rs81	A	C	314	0.157	0	0.223657	0.219509	4.64173	20.7538	0.30825	0.30825	false	0.226872	0.219758	4.69778	20.7068	0.301897	0.301897	0.178571	0.154656	98	902	5	25	20	239
1	83	rs83	A	C	48	0.024	0	-1.01208	0.541253	-3.45475	3.4135	0.061499	0.061499	false	-0.997094	0.541624	-3.39892	3.40882	0.0656312	0.0656312	0.00510204	0.0260532	98	902	0	1	0	47
1	86	rs86	A	C	304	0.152	0	0.236559	0.227531	4.5694	19.3161	0.298489	0.298489	false	0.243105	0.227737	4.68734	19.2812	0.285755	0.285755	0.178571	0.149113	98	902	4	27	15	239
1	90	rs90	A	C	135	0.0675	0	-0.00731817	0.308894	-0.0766979	10.4805	0.981099	0.981099	false	0.00605098	0.309247	0.0632726	10.4566	0.984389	0.984389	0.0663265	0.0676275	98	902	2	9	6	110
1	92	rs92	A	C	217	0.1085	0	-0.264148	0.253393	-4.11394	15.5744	0.297206	0.297206	false	-0.257948	0.254004	-3.99806	15.4995	0.309856	0.309856	0.0918367	0.11031	98	902	3	12	10	179
1	94	rs94	A	C	699	0.3495	0	-0.0590429	0.169077	-2.06537	34.9808	0.726934	0.726934	false	-0.0688273	0.169919	-2.38382	34.6349	0.685435	0.685435	0.341837	0.350333	98	902	10	47	109	414
1	96	rs96	A	C	219	0.1095	0	0.319411	0.253866	4.95612	15.5164	0.208323	0.208323	false	0.33649	0.254462	5.19667	15.4438	0.186049	0.186049	0.137755	0.10643	98	902	1	25	12	168
1	97	rs97	A	C	801	0.4005	0	-0.280639	0.165599	-10.2337	36.4657	0.090134	0.090134	false	-0.272435	0.166091	-9.87571	36.2498	0.100949	0.100949	0.346939	0.406319	98	902	10	48	148	437
1	99	rs99	A	C	284	0.142	0	-0.468596	0.23838	-8.24633	17.5979	0.0493267	0.0493267	false	-0.474993	0.239175	-8.30342	17.4812	0.0470371	0.0470371	0.0918367	0.14745	98	902	0	18	17	232
